영화제목,아이디,평점,댓글
방법: 재차의,twit****,10,본방때 열심히 보고 영화 개봉에 맞춰 다시 드라마정주행한 후 개봉 첫 시간에 관람했습니다. 드라마를 본 사람이라면 드라마보단 못했지만 다음 세계관으로 연결되기 위한 과정 같아 당연 볼만 했을테고 드라마를 못 본 사람이라면 평점이 낮을듯... 마블은 열심히 예습복습하면서 우리영화는 드라마를 모른채 악평하는게 쫌...쿠키 영상을 통해 본격적으로 빌런이 등장할 것 같아 다음 이 더 기대되는 영화.
랑종,dhwl****,10,머리가 나쁘면 재미가 없음/ 본인이 페미면 재미가 없음/종교가 기독교면 재미가 없음
랑종,dhwl****,10,머리가 나쁘면 재미가 없음/ 본인이 페미면 재미가 없음/종교가 기독교면 재미가 없음
어른들은 몰라요,oonq****,1,주인공은시종일간약에취한애같고     내용도없고 교훈도없고 개연성도없고예전             나쁜영화보다더최악
모가디슈,pkb1****,10,2시간 동안 숨쉴틈이 없었다 ..
극장판 귀멸의 칼날: 무한열차편,bran****,10,마음을 불태워라...! 애니메이션 영화 중 단연 1등
빛나는 순간,rudt****,10,
쥬라기 공원,pari****,10,쥬라기 공원..그냥 이름값 한다..100년이 지나도 회자될 작품
스파이더맨: 파 프롬 홈,zx79****,10,
랑종,mhc6****,1,
방법: 재차의,minm****,9,액션신도 화려하고 연출이 좋았습니다. 무엇보다 배우들의 연기력과 연기의 합이 휼륭했습니다!!!
콰이어트 플레이스 2,cpco****,10,네이버영화 출연진은 어디서볼수잇는지??갑자기 없어진건지 좀보기쉽게 해놓지
13시간,cmr1****,10,정부가 늦장 부려 화가 나는 영화에요 희생정신이 대단해요 실감나는 연출에 무섭고 안타까웠어요
베를린,kyow****,10,믿고보는 대배우들의 연기
새콤달콤,ehdd****,10,크리스탈님 너무 이쁘세요.
반도,dbsr****,1,제발 억지 신파좀 갖다 버려 부탁할게
퍼펙트맨,rast****,10,정말 재밌습니다 웃기도 많이 웃고 배우분들 연기에 많이 감탄했어요
콰이어트 플레이스 2,good****,7,이어 달리기 계주에서 2번째 주자까지 바톤 터치한 느낌. 3편이 안 나올리가 없다는 느낌 ㅡㅡㅋ
킬러의 보디가드 2,side****,9,잘 웃었습니다ㅋㅋㅋ 초반 입너무 털긴하는데 뭐..ㅋ 마지막은 생각도 못한ㅋㅋ
모가디슈,xogk****,10,Good movie
게드전기 - 어스시의 전설,dwep****,1,개노잼ㅋㅋㅋ왜만듦?감상포인트: 연기인 이유ㅋㅋㅋ 연기개못함ㅋㅋ
크루엘라,winl****,10,그냥 엠파스톤 쩔어 ㅠㅠ 끝
갈매기,iris****,10,오랜만에 만나는 영화다운 영화처음보다 두번이 더 좋은
모가디슈,koog****,10,블랙위도우랑 모가디슈 두개봤는데비교가안된다우리나라 문화의 힘이 이정도다
정글 크루즈,xpfl****,10,출연진 정보좀 볼려니 없앴나??출연진 정보가 사라졌는데??왜 없앴지?
야쿠자와 가족,bcro****,8,잔잔하면서 스토리가 깊다
몰리스 게임,yeaw****,6,몰리 블룸의 삶. 용기 있지만 솔직히 보면서 너무 답답했다. 그래도 제시카 차스테인의 연기 덕분에 더 눈길이 가는 더 집중하게 만드는 영화였다. 그래서 그런지 주인공 말고는 딱히 생각나는 인물이 없는 것 같다.
모가디슈,grac****,10,그냥 한마디만 할게요또 보고 싶어요!!!!
클래식,tngu****,10,너무 재밌게 봤어요 ..
돌멩이,ok23****,10,석구을 죽인것은 김선생(송윤아)이죠...안타깝다 송윤아님이 악역으로 나오시네요...보고 너무 화가 납습니다...물론 영화이지만..다음에 악역으로 하시면 잘 할듯 합니다...넷플리스에서 봤는데 다음에 송윤아님 악역을 해주세요 진짜 잘할듯 합니다 가식적인 악역으로 부탁드립니다
이별의 아침에 약속의 꽃을 장식하자,h_i_****,10,이 새벽에 날 울렸어슬프다
방법: 재차의,shbi****,1,"돈을 받고 봐야 할 수준의 영화. 내 시간과 정신적 고통은 누가 보상해주나? 중간에 뛰쳐 나가고 싶었다. 실제로 뒤에 앉아 있던 여성분은 보다가 나가더라.  설득력 떨어지는 전개와 오글거리는 대사며 연기며, 몰입은 되지 않고 연출이 훌륭한 것도 아닌 이도 저도 아닌 영화다. 도대체 누가 이딴 영화에 투자해서 영화를 만든거야?"
랑종,park****,1,찝찝하기만 하고 무섭지는 않음
발신제한,alic****,4,스토리라인 너무너무너무 뻔한 영화.배우들이 아까움.  그냥 차광고를 위한 영화같음.
킬러의 보디가드,1111****,8,간만에 다시 봤는데 또 봐도 재밌네..
인 더 하이츠,gucc****,1,뮤지컬 영화 진짜 좋아하는데그중에 제일 재미없고 영화 중간에 나가고 싶어지게 만들던 영화.. 내용도 별 의미없고 자기들끼리 노래만 부르다 끝남 ..
발신제한,spqj****,10,"차광고같은 느낌이었지만, 조우진배우 첫주연 연기는 성공적이신듯합니다~ 앞으로도 주연으로 자주 뵈었으면 좋겠어요^^"
월터의 상상은 현실이 된다,w835****,10,언젠가 내 인생에 분명한 영향을 줄 영화.
모가디슈,haen****,1,후반부로 갈수록 신파... 이 좋은 소제를 또 다시 진영논리 때문에 망쳐놓네...
너의 이름은.,w835****,10,그림도 예쁜데 음악이 진짜다
블러드 레드 스카이,c3an****,6,"뱀파이어 영화..약간 억지 설정, 억지 전개? 억지 감동이 있어서 시간죽이기 좋은 영화 그 이상도 그 이하도 아님.."
모가디슈,chan****,10,
블러드 레드 스카이,rlqj****,8,사건을 만들기위해선 발암요소는 절대 빠질수 없는 부분인가;; 근데 뭐 나쁘지 않게봤다. 좀비물에 테러가 섞여 나름 독특했고 모성애와 감동도 더한 좀비물 영화였음.
모가디슈,dhrg****,1,애미OO영화돈버리고 싶으면 보러오세요 ^^
발신제한,fori****,8,"조우진, 이재인 연기력 역시 만족스럽습니다."
블랙 위도우,chun****,10,
불한당: 나쁜 놈들의 세상,ldhd****,10,보자마자 바로 파아란 들어야 됨
블랙 위도우,hear****,10,보는내내 시간가는줄 몰랐네요 재밌었어요 깨알같은 쿠키영상도 굿굿굿요!
모가디슈,skyc****,10,간만에 한국영화중에 대박 영화네요긴장감 넘치고 시간가는줄 모르고 봤네요
정글 크루즈,obin****,3,스토리도 지루하고 보는내내 지루했어요.
여고괴담 여섯번째 이야기 : 모교,yhw0****,1,보면서 어쩌다 한국 공포영화가 이렇게까지 되었을까.. 하는 생각을 많이했습니다
"나는 내일, 어제의 너와 만난다",xkrg****,3,스토리가 진부해서 1.5배속으로 보았음.별점3점이 적당
모가디슈,1879****,8,"기대없이 봤는데 의외로 긴장감 있고, 잔잔한 감동, 슬픔과 더불어 분노와 애증 등.. 여러감정을 느끼게하는 짠한 영화였음."
모가디슈,aran****,10,같은 소재를 다뤘다고 가정했을 때 나올 수 있는 최상의 연출과 연기였음. 특히 허준호 캐스팅은 신의 한수... 등장인물들의 감정선에 이질감없이 스며들 수 있던 영화. 신파 없이 담백함
발신제한,rkdq****,2,억지감동 억지 스토리 현대에서 광고비 남아서 영화찍었나…시간아까움
말모이,dkfl****,10,한국사람이라면 누구나 한 번 쯤은 봐야되는 영화
"다만, 널 사랑하고 있어",hgh0****,7,"그녀가 거짓말을 한다고하지만, 마코토 아마 더 거짓말을 하고있는건 아닌가싶다. 시즈루에게 가끔씩 반하는 마코토의 모습이 보이지만 그걸 속이고 표현하지 못했던 마코토가 안타깝다. 슬픈걸 아는데 눈물이 나오지는 않았다. 아마 주인공이 전시전에서 시즈루를 극복한것처럼 나도 주인공을 따라 시즈루에 대한 슬픔을 극복한것같다. 그만큼 그 장면에 몰입된거 같다."
정글 크루즈,ehdd****,3,디즈니의 PC사상 조기교육
찰리와 초콜릿 공장,whrk****,10,
범털,leed****,10,갈치역 이대진님 담배피는 연기 완전 잘하시고 웃겨요ㅋㅋ몇번 돌려봤네요ㅎㅎ 팬입니다~!!
정글 크루즈,1879****,4,꿈과 희망이 가득찬 모험은 아니였음. 이렇게 화려하면서 지루하기도 쉽지않은데..
소셜 네트워크,klkl****,7,찌질의 역사가 연출을 만난다면
모가디슈,room****,9,"남편이 극장을 가자고 한다(아 요즘 델타 난리라고..왜저래.. 뭔 영환데?)무슨 조인성 나오는 영화가 나왔다고 한다(조인성? 또 무슨 철없는 연기 보려고? 국내영화야?)노스포 노기대, 감독도 배우도 모른채 인폼없이 관람시작초반부터 김윤석이 분위기 캐리함(김윤석 배우 나오는 것 보고 맘놓고 영화봄ㅋ)(여전히 감독이 누구인지 모르는 상태였음)(조연과의 찰떡 연기에 관중들 웃음 터짐관객 연령이 3040이었는데 시대물 배경이라 다들 추억소환하며 영화 즐김)배우들의 연기력이 워낙 출중한데다레트로 배경이 시선을 집중시켜,초반부터 영화에 빠져들게 만들었다다만 스토리 연결 중 개연성이 초큼 떨어지는 듯한읭? 타임이 두어번 있지만,총탄소리가 빠지지 않고 카체이싱이 정신을 빼놓아 전체적인 흐름이 탄력있게 진행된다과도한 총기난사 부분, 인권 박탈의 참상을 보여주는 자극적인 연출이 불편했다영화에서 소말리아는 나쁜 배경으로만 이용하고,주인공인 김윤석과 허준호는 너무나도 인간적이고 인도주의적으로 표현하는 올드한 연출외교국의 우월한 지위에 물든 시선이소말리아인들을 위협적이거나 불쌍하거나 하는 단편적인 시선으로만 나타내어 아쉽다배우 총평김윤석이 김윤석 했다이 영화에 허준호가 있어 김윤석이 더 빛났다구교환 캐스팅까지 헤트트릭 성공조인성 나쁘지 않았다조연배우들 연기력이 영화의 빈공간을 촘촘히 메워주어 즐겁게 영화를 볼 수 있었다영화 총평류승범은 배우 믹싱을 잘 했다배우들의 화합이 좋았다는 것, 감독이 감독역할을 연출이 연출 역할을 잘 했다는 방증이 아닌지영화 제작비가 엄청났다는데, 그 후광은 영화에서 막 느껴지진 않는다 (사운드에 돈을 많이 썻나?)사운드 시원하게 느껴져서 여름에 잘 어울린다는 생각을 했다여담으로 영화보기 전 물을 너무 많이 마셔서 영화시작 30분 정도부터 화장실에 가고 싶었는데영화 흐름이 잘 끊어지지 않아결국 한시간동안 두번이나 꾹꾹 참고 마지막 30분 남긴 시점에 후다닥 다녀옴"
어벤져스: 엔드게임,john****,10,개연성이 떨어짐에도 가장 감명받은 영화
모가디슈,tnwl****,10,
블랙 위도우,reme****,4,오랜 만에 다시 보게 되는 마블이라 기대를 많이 했지만 정말 이건 아닙니다. 낮은 평점을 믿으세요.
방법: 재차의,baks****,7,연상호~각본만 쓰자
작은 아씨들,gydb****,10,
"그날, 바다",ckyu****,10,2정도에 더이상의 진상규명이 필요하나? 얼마나 더?
블랙 위도우,heli****,10,어벤저스 시리즈의 개인사를 다룬 작품 중에 가장 재미있었다
모가디슈,jabe****,10,"최근 본 영화중 탄탄한,엉성하지 않은, 가볍지않은 수작이라  말할수 있는 영화"
모가디슈,asy3****,10,군함도 탈출 성공
밀양,mose****,1,연기는 참 잘한다 ㅋ근데 진짜 별로다 ㅋ
고독한 실력자,baks****,6,심은하 원판 감상용
가디언즈 오브 갤럭시,kyj8****,10,"아니 단순히 히어로적인 요소나 ost, 액션 같은거 제쳐두고 범우주적 스케일과 sf적 디테일 같은 것만 봐도 아바타, 발레리안, 제 5원소, 블레이드 러너 같은 영화들과 비교해도 전혀 OOO 않고 오히려 선방하는 영화다. 제작진이 당시 가디언즈 오브 더 갤럭시의 인지도가 타 마블캐릭터들보다 상대적으로 낮아서 cg나 미장센, 사이버펑크틱한 디테일에 더 신경쓴 걸로 개인적으로 추측되는데 진짜 변태적일 정도로 눈이 즐겁다. 2014년에 아이맥스로 안 보면 호구라는 평이 제법 많았던 걸로 기억하는데 그때 영화관에서 안 본 게 진짜 후회스럽네. 제임스 건 이 사람은 진짜 천재인 듯"
발신제한,minu****,2,아놔 이럴수가 이래야만
모가디슈,kyjh****,10,"캐스팅, 연기, 연출 다 좋음.감동도 의미도 있는 영화."
정글 크루즈,star****,8,"유치하다면 유치하고 자세히 따지자면 부실하게 느껴지실 수 있는 영화겠지만, 모든 관객분들이 비평가도 아니고 따질려고 보는 것도 아니기에 적당히 즐길거리를 원하시는 분들에겐 볼만한 것 같습니다코로나 시국에 답답한 마음을 환기시키기에는 적당한 것 같아요’’"
모가디슈,baks****,9,리들리 스코트의 블랙호크다운 보다는 마이클 베이의13시간에 빚지고 있는 영화지만 통쾌하지 않다는 점에선 후안 안토니오 바요나의 임파서블을 고명 삼아 올리고 적당히 비빈 비빔밥 영화
광식이 동생 광태,hwan****,8,인연과 운명 중 누가 용기가 없었던걸까.
방법: 재차의,thes****,1,감동입니다. ㅠㅗㅠ 너무 꼭 보세여.
그것만이 내 세상,keie****,10,감동을 느끼고 싶다면~~~ 연기력에 빠지고 싶다면 바로 이 영화다 형제 주제로 한 영화중에 단연코 이 영화가 최고인 듯
안시성,gdid****,5,"말로만 듣다가 오늘 봤는데.. 듣던대로 역사왜곡 심각. 제일 큰 왜곡 2개만 살펴보면,,중국사서에 등장하는 패전에 대한 이세민의 변명성 태도들을 미루어볼때, 1)주필산 전투는 당의 대승이 아니라, 오히려 비교적 사상자가 적고 대치상태의 전투라서 시간끌기에 성공한 고구려의 승리였을 가능성이 매우 높고...  2) 이세민은 ""안시성을 연개소문도 함락시키지 못한다는 말을 들었다 카더라."" 라며 역시 패전에 대한 뇌피셜 카더라통신성 변명을 늘어놓는데,, 그걸 근거로 영화속에서 안시성주와 연개소문이 사이가 나쁜걸로 묘사.이세민이가 약1400년 후에 고구려의 후손들이 스스로 이런 영화를 만들어 왜곡된 역사인식을 일반화시키고 있는걸 안다면,, 얼마나 흐뭇해할지... 기가 찰 따름이다. 사극 건드리는 영화감독, 극작가들은 제발 역사고증에 신경 좀 써줬으면 좋겠다. 中동북공정 역사왜곡에 비판하는 사람들이 왜 이런거엔 관대한지 모르겠네."
바스터즈: 거친 녀석들,kyun****,10,뭐 이따위로 영화를 잘 만드셨네요긴장감100 배우들 연기도 좋고 연출은 엄청나네요
아멜리에,dudg****,10,감각적인 사랑표현 ..
월요일이 사라졌다,jmw6****,6,소재는 흥미로웠으나 서사가 아쉽다.
해피 어게인,yjbg****,9,"상처로부터 극복해가는, 삶을 이어가기 위한 이야기."
모가디슈,thes****,1,흠 정만식. 구교환 … 너무 몰입감 떨어집니다.
시카리오: 암살자의 도시,lsun****,7,오직 복수를 위해 계획을 무시하고 폭력을 이용하는 씹깡패 맥시코 검사와 CIA. 거기에 불쌍한 따까리 증인 FBi 누님..보면서 너무 안타까웠음 이게 현실이 아닐까 싶다.
차인표,doyo****,4,초반은 그럭저럭 재밌었는데요 갇히고 난 이후에는 ㅠㅠ
드라큐라,hose****,8,게리올드만 연기가 좋고 내용이 흥미로우며 잘만든영화다
타짜,blue****,10,이대가 그렇게 좋은 대학교가 아닌데 공부 잘해서 들어가는 대학교라고 전국민을 착각하게 만든 영화
히든 피겨스,hjun****,10,
조작된 도시,in76****,10,넷플에서 이제 봄.. ㅋㅋ 존잼이넹
블랙 위도우,srch****,10,마지막 스토리라는게 아쉽다
샤잠!,luke****,6,"아... 마블과의 격차는 더욱 벌어지는듯.디씨치곤 개그와 가벼움을 섞었으나, 전반부는 적당히 먹힌 반면, 후반부터는 안습…적당히 유치하면 좋겠음. 데드풀의 대항마 컨셉같은데… 15살즈음의 주인공의 연령대만 맞춰줬어도… 이건 초딩급..디씨치곤 노력해서 6점. 디씨가 아니면 5.5"
낙원의 밤,doyo****,6,자기 복제가 심하게 느껴지는 영화였습니다
랑종,viru****,10,이영화는 우리가 알고있는 공포영화와는 다른장르입니다. 흔히 누군가 악령에 빙의되고 그악령을 없애는 해피엔딩이 없습니다.관객이 가장믿고있는 인물이 죽어버리면서관객들은 절망하고 그동안퇴마를 준비해온 인물까지 의식에 실패하게 되면서 더큰 좌절과 미래가 없는 절망을 공포로 보여주는 영화입니다..장면이 개연성이 무서운영화가 아닙니다.  희망이 없어질때 느끼는 공포감을 주는영화
모가디슈,lwh1****,9,"실화를 바탕으로 해서인지 사실적이고 영화내내 긴장감이 엄청 났어요. 류승완 감독 연출력은 더욱 대단해진거 같고, 김윤석 배우의 연기력은 정말이지.. 눈물이 찔끔 났네요.."
모가디슈,dubu****,10,"외국영화 보려다 김윤석 나오는 영화는 평타는 쳐서 봤는데 너무 괜찮았고 다른 분들 평대로 신파없이 깔끔해서 좋았어요. 자동차씬은 총알사이로 막가서 좀 그랬지만 ^^ 영화니까^^ 무튼 배우들 연기도 너무 좋았고, 돈이 아깝지 않다고 생각한 몇 안되는 영화였어요. 나름 영화가 끝난 뒤 생각할 것도 있고..교훈도 있었고...코로나라서 극장나들이가 부담스러웠는데 엄마랑 너무 좋은 데이트했네요 :) 감사합니다."
이스케이프 룸 2: 노 웨이 아웃,vnel****,9,"보는 내내 긴장해서 심장이 미친듯이 뛴 영화. 뻔한 스토리 라인이 조금 보이긴 하지만, 그걸 덮을 만큼의 전개가 영화에서 눈을 뗄 수 없게 합니다. 추가로, 집에서 볼 때와 영화관에서 볼 때의 긴장감과 몰입도가 매우 다르니 더 재미있게 보려면 꼭 영화관에서 풍성한 사운드로 즐기시길 추천합니다!"
굴뚝마을의 푸펠,llma****,8,개인적으로 좋았다. 하지만 객관적으로 어떨지몰라 8점.솔직히 얘기해서. 별을 보러 간다고했고. 결과적으로는 더 무서운 세상이 나오지 않을까? 생각했던 나는... 너무 어른인거다...ㅡㅡㅋ 여튼 좋았음. ost도 진짜. 말이 안통하는데도 좋았음.그리고... 대사가 시 같던데 노린거가?
극비수사,skau****,10,매끄럽고 몰입감있는 전개와 연출자극적인 장면이나 군더더기없어 더 완성도 있던 영화김윤석과 유해진 및 다른 조연 배우들 연기력까지 모두 빛났던 영화.또한 동시에 박정희정권시절 경찰내부가 얼마나 썩어 문드러져있었는지 여실히 알수있었던 영화
모가디슈,wktm****,10,영화 짱이에요!구교환 배우님 응원합니당
플래시드,kcru****,10,이런영화는 대서 서로치는게 지금보다 개고수임ㅋ지금은 편집ㅈㄹ하지만 이영화는 교과서에 실릴정도로 배우간의 대사가 개쩔음이정도면 감독이 천재임
발신제한,pkw1****,10,역시 조우진입니다 ㅜㅜ딸역할 아역도 굿입니다
모가디슈,sunn****,1,전형적인 민주당이 좋아할만한 영화. 북한 O  지루한 전개 O
블랙 위도우,kokh****,10,진짜 너무너무너무 재밌었다 보는 내내 행복했음
아메리칸 갱스터,redt****,9,스콧 감독 영화 존나 잘만드네
극장판 귀멸의 칼날: 무한열차편,buzz****,10,마음을 불태워라 한계를 뛰어넘어 나는 염주 렌고쿠 쿄주로!!
라이더스 오브 저스티스,ety1****,2,최악의 영화돈낭비 시간낭비
모가디슈,rowk****,10,
은혼 더 파이널,duct****,7,은혼이 팬들에게 주는 최고의  선물
내 아내의 모든 것,ppas****,10,다시봐도 개웃김~ㅋ오나라 님도 우정출연 하셨네요~ㅎㅎ나의 아저씨로 팬이 되었는데 여기서 만나다니 반가웠어요~~ㅎㅎ
브리짓 존스의 일기,qkre****,8,"귀엽고 사랑스러운 르네 젤위거, 한량 그 자체 휴 그랜트, 젠틀한 외모를 가졌었던 젊은 콜린 퍼스."
노 게임 노 라이프 -제로-,dara****,10,애니를 보고 영화 보는거 추천.
방법: 재차의,kang****,2,재미도 없고 감동도 없고 공포도 없고…
모가디슈,trus****,10,와 후반부엔 같이 긴장해서 주먹쥐고 봤어요. 인성님 역할이 찰떡인듯. 김윤석 허준호님은 감동은 있었지만 인성님 덕에 재미까지 업!!
내겐 너무 소중한 너,arla****,10,너무 아무 생각 없이 봤는데 연기력도 그렇고 진짜 평범이라는게 너무 감사하게 생각하게 됩니다.. 진짜 새로운 감동이였어요..
모가디슈,dlwl****,10,조인성 잘생겼고 싸움도 잘해서 더 잼있었음
방법: 재차의,7lea****,9,"드라마 스핀오프라는걸 다 끝나고 알게되었다. 드라마를 미리 보고 봤으면 더 좋았겠지만, 드라마를 안봐도 내용이 쉽게 이해가 된다. 시리즈로 나와도 좋을것같다."
라이프 필스 굿,ilov****,10,마테우스라는 한 사람의 시각에서 바라보는 인생의 의미.
세븐,aaaa****,10,피트오빠 24년전에도 존잘이네염
모가디슈,sjy2****,8,생각보다 재미있었음 억지눈물 같은거 없어서 좋았음
왕의 남자,hwan****,8,"연산군같은영화 천만이 광대극,,, 천만이 볼만함."
모가디슈,leej****,10,볼 만합니다! 돈 이깝진 않네요.
8인의 수상한 신사들,ansi****,7,초반엔 지루하다가 중후반부터 할아버지들이 개그감이 있네요.처음에 지루해서 웃기 싫었는데 후반에 존나 웃었습니다.하....
아무르,07xp****,7,아직 20대 초반으로 젊다고 생각하기에 미래만 꿈꾸는 내가 훗날 과거를 돌아봤을때 인생이 아름다웠다고 말할 수 있는가
모가디슈,iceb****,10,군더더기 없이 깔끔. 과하지 않아서 더 몰입되는. 다시 한 번 보고싶다!
승리호,nann****,10,이제야 보네요 너무 재밌네요  시나리오영상 연기 모두 짱이네요
랑종,a1st****,2,그냥저냥 그래요 예전보다 못한듯
발신제한,saxo****,6,조우진연기는 최고 멋있는데.. 고구마....ㅜㅜ
스켈리톤 키,hars****,8,화형은 그럼...아...헐...
승리호,youh****,10,시나리오도 너무 괜찮고 시지도 진짜 대박임 리뷰보고 별로 기대 안했는데 대박임..
방법: 재차의,oney****,2,충격이다 이런영화를 제작할수 있다는게 소오름 ...서서히 브레인워시 하네 애기들아 ㅠ미안하다
허브,siny****,10,오래도록 기억에 남는 영화입니다. 다시 봐도 최고!
모가디슈,qute****,6,"개인적으로 배우들의 연기와 스토리 구성은 좋았다고 보여지나, 예상할 수 있는 후반부 전개를 비롯한 결말이 아쉬웠던 부분. 영화 공조를 보았다면 남/북이 함께 드러나는 방식을 연출 및 스토리 구성을했듯, 모가디슈에서는 조금더 트렌티함을 줄이고 누구나 알법한 남/북의 조합을 연출해내었다는 생각. 다소 호불호가 갈릴만한 영화였음."
빅 아이즈,ghj0****,10,60년대 슬픈 여성의 삶과 운
사자,cute****,8,가볍게 보기 좋은 듯 박서준 우도환 존잘이요 ㅠ
모가디슈,jin5****,8,오...집중안한 장면이 하나도 없음 각 장면에 맞는 bgm도 몰입도있었고 배우들 역할이 찰떡
프리즌 이스케이프,srbd****,9,조마조마 하면서 볼 수 있는 영화예요잼나세 봤어요
모가디슈,cide****,10,추천 재미있었음~ 추천 재미있었음~
모가디슈,whst****,1,꼭 북한얘기는 넣어야 하나요? 이걸 보면 상당히 친북 성향의 영화네요 휴전국인데 말이죠
노인을 위한 나라는 없다,gozl****,9,인생사 새옹지마 운칠기삼
발신제한,ldh9****,2,이런 몰입도가 핵심인 영화들은배우들 표정변화에 포커싱때려도모자랄판에 쓰잘데기없이제네시스 풀샷은 왜그리 많이 넣었는지심지어 테러범이랑 통화하면서도 화면은차 주행하는 장면풀샷임ㅋㅋ조우진 지창욱 딸 이 셋의 연기가이런 쓰레기같은 자본덩어리에 묻힌게안타까울 따름.
모가디슈,dlar****,10,
모가디슈,jkyj****,10,정말 재미 있어요 시간가는줄 모르게 봤어요  연출 연기 다 좋네요
모가디슈,lsh8****,9,k신파 k 통일팔이만 없는거만해도 어디냐... 거기다가 한국영화상 역대급 액션이었다
미씽: 사라진 여자,coal****,10,제일 슬픈 영화 같아요 공효진 배우님 정말 제가 본 배우 중에 연기 가장 잘하는 거 같아요 정말로요
스카우트,mosd****,10,임창정 버전의 헬로우 고스트라고 할까? 매우 훌륭한 영화입니다.
랑종,msh1****,4,장점 : 여배우가 연기를 잘한다.감독들이 유명해서 기대가 됨.단점 : 위 장점빼고 전부 보고나면 후회가 됨2000원이하면 한번 볼 의향있음.진짜 공포영화 잘 만드는 두명의 감독이만났으나 의견대립이었는지 말이 안 통해서였는지 아무튼 영화 개판으로 만듬.30초짜리 광고가 더 재밌음 ^ ^
론 레인저,netf****,10,이게 어떻게 7점이냐...영화 본거 맞냐!!
블랙 위도우,toma****,9,공중액션씬도 아주 좋았고 연기 굿 스토리 굿! 감동적인 면이 살짝 있는게 좋았다.
부활,woos****,10,보고싶은데 vod 서비스 빨리했으면 좋겠어요 ㅠㅠ
디파이언스,ichi****,6,"실화내용이다보니, 연출에 한계가 있었지 싶다. 그 부분이 아쉽다."
대전 블루스,oleh****,1,0점 없냐?? 0점 없냐고??
