영화제목,아이디,평점,댓글
히트맨,kimy****,10,새벽에 보면서 개처웃음 배우들 연기가 진짜 웃김 영화관에서 봤으면 의자에서 떨어질 정도로 자지러졌을 듯 이걸 왜 영화관에서 안봤나 싶을 정도임
바르게 살자,soos****,10,뜬금영상미까지완벽해당황스러운영화
블랙 위도우,holy****,9,"나타샤의 마지막, 함께해서 그동안 행복했습니다."
아저씨,jack****,10,보고싶다보고싶네또보고싶네 ㅋㅋ
먼 훗날 우리,othe****,10,"인생, 누구에게나 돌이킬 수 없는 시간의 배열. 지나간 것들에 대한 아쉬움. 돌이킬 수 없는 간절함. 찬란했던 그 시간들과 나. 그리고 우리. 엉켜버린 채로 흘려보낼 수 밖에 없었던 청춘의 무력감. 매순간이 간절실했던 만큼 아팠고 아름답던 시절. 몰래 훔쳐본 누군가의 일기장. 너무 나이가 들어버린 나와 마주하며 과거를 더듬게 하는 영화."
담보,dain****,10,아빠. .. 아빠.. .다음에 보물이..된다..
방법: 재차의,kmh1****,10,너무 재밌게 봤어요 ㅜㅜㅜ
모가디슈,ming****,10,오랜만에 극장에서 잼있게 봤어요
캐시트럭,yong****,8,"근본있는 액션, 이야기가 있는 액션."
내겐 너무 소중한 너,dldu****,10,너무 좋은 영화라서 처음으로 별점남겨보네요많은 사람들이 봤으면 좋겠습니다
더 울프 오브 월 스트리트,sdar****,8,"보는 내내 정말 더럽다고 꼴사납다고 느꼈는데, 왜 여운이 남는지. 조던이 갖고 있던 욕망을 우리 모두 지녀서일까?"
쏘우,mftr****,10,이정도 명작은 반전을 알던말던 한번쯤 봐줘야지
걸캅스,jiya****,10,한국 여성들 행복했으면 좋겠습니다.
어바웃 타임,owen****,7,이미 시간여행을 하고 있는 우리 모두에게...
해어화,cxcc****,10,"영상미 자체가 가지는 아름다움과 배우들의 연기 그리고 스토리 전개까지 뭐하나 구차하지 않았고 뻔하지 않았다. 전개됨에 따라 달라지는 여러 연출들, 배우들의 감정 뭣하나 아름답지 않고 여운남지 않았던 것 없다.인물 하나하나의 마음은 이해할 수밖에, 수긍할 수밖에 없는 마음이고 그렇기에 누구도 탓 할 수 없었다. 가슴 아픈 여운이 남는다."
모가디슈,spar****,5,무슨 남북정상회담 쑈하던 시절 나올법한 영화도 아니고. 얼마전에 남북 통신선 복원됐던데 그거 노리고 나온 영화도 아니잖아? 남북연락사무소 폭파까지 한거 아직도 생생한데. 갑자기 뜬금없이 이시점에 이런영화라니. 이러니 좌파감독 소리 듣지. 환상에서 깨어나야 한다. 요즘 2030 mz세대에게 이런 같잖은 동포적 감성팔이? 영화 더이상 안먹힌다. 평창올림픽때 생각 안나나? 류승완도 이제 어쩔수 없는 나이먹은 꼰대감독이 되는건가? 감각 떨어져도 너무 한참 떨어지네. 그냥 평범하게 영화 만들었으면 중간은 갔을텐데 그럭저럭 볼만했을텐데 실망이다. 영화 결말도 너무 허무하고. 마지막주수요일 5000원 관람 아니었으면 진심 돈아까웠을뻔
프랙처드,beri****,8,샘 워싱턴 오랜만에 봐서 좋았다. 뭔가 긴가민가 이게맞나 저게맞나 무엇일까 하다가 아 그랬구나 하고 끝났다.
방법: 재차의,ljsu****,10,
