영화제목,아이디,평점,댓글
정글 크루즈,huwr****,8,지루하지 않고 잼나게 봤어요 ^^
메이즈 러너: 데스 큐어,octo****,10,규모가 큼민호야라고안부르고 민호 라고 분름
보스 베이비 2,eoji****,10,영상미랑 연출도 좋은데 나는 ost가 그렇게 좋더라
정글 크루즈,yj80****,7,디즈니는 사랑이에요 정말
정글 크루즈,vl4i****,10,연기도 좋았고 빠른 전개와 코믹스러운 요소도 시종일관 나와서 재미있게 봤네요
블러드 레드 스카이,slwa****,1,이거 뭐야... 이거 볼 시간에 똥누고있을껄..
반도,crim****,1,넷플릭스에서 보다 초반 강동원 누나가 좀비떼 한복판에서 좀비로 변해가는 아들 안고 억지 신파 대사 읊어대는거 보고 바로 껐습니다.좀비라는 소재 자체가 판타지기에 관객을 몰입시키기 위한 핍진성과 개연성을 위한 노력이 많이 필요한게 좀비영화인데 부산행이 너무 성공했었나보네요.부산행이 신파땜에 떴다고 착각한건지...이딴 영화들은 그만 보고 싶네요
모가디슈,whit****,10,조인성이 다 한 영화 역시 류승완감독 시원하게 볼만한 영화!!
볼리션: 미래를 보는 자,neoa****,6,주인공을 바보같이 설정해놔서 재미가 반감됨. 바보의 바보짓이 반복되는 느낌. 초기 설정이랑도 안 맞고.. 재미있는 컨셉으로 그냥저냥 수준의 영화를 만든 느낌.
모가디슈,yj80****,6,배우들의 연기력에 멱살끌려감
크루엘라,clxk****,10,재밌어요.. 진짜보고 또 봐도 재밌는 영화
모가디슈,rokm****,4,반전없이 시시하게 끝남 2프로 부족한 영화
모가디슈,dmst****,10,정말 간만에 영화다운 영화를 본거같아 만족감이 높습니다.아무런 줄거리도 보지않고 갔는데 내용 이해도가 아주 잘되었고 너무 잘봤습니다.감사합니다.
보스 베이비 2,stel****,10,이거 보고 찐으로 울뻔함
모가디슈,grow****,6,"류승완의 영화 모가지, 휴"
걸캅스,thdr****,2,저런 여자경찰이 어디있다고 ㅋㅋ
친절한 금자씨,siwo****,10,이질감으로 가득찬 장면들. 그런데 그 이질감들이 대체 어디서 오는 건지 모르겠다.
모가디슈,amit****,10,존잼탱.. 엄마아빠 추천해줄거에요
롤러코스터,kims****,10,어이없는 웃음유발진짜 난 재밌게봄ㅠ개웃긴데ㅠ평점 왜안좋음?
모가디슈,wjqt****,10,내가 겪은 시대의 일도 아닌데 마지막 엔딩 장면에서 분단의 씁쓸함과슬픔이 너무 진하게 다가오고 그 감정의 여운이 오래가고 가슴이 먹먹해지네요.
모가디슈,why6****,10,이 영화의 진정한 묘미는 소리 연출입니다.  적막 속에서 이따금씩 들리는 총성 한 발은 영사관 안에 있음에도 공포감과 무력감을 느낄 수 있었습니다. 특히 마지막에 기도하는 반군들 사이를 지나가면서 나오는 아프리카 전통 음악은 긴장감에 절정을 보여주었습니다. 정말 오랜만에 한국에도 절제되고 정제된 세련된 영화가 나와서 좋습니다.
모가디슈,tny0****,10,"코로나 개봉이라서 아쉬움이 많이 남아요, 천만갈 수 있는영화인데.. 조인성,김윤석,허준호 연기는 말해뭐해이고 구교관님 연기도 너무 좋았어요! 다들 촬영하면서 고생많이 하셨을거 같아요, 러닝타임 내내 지루한감 없고, 감동도 있습니다 류승완감독님"
시체들의 새벽: 컨테이젼,crim****,1,헐리우드에는 민폐 여주가 흥행코드라도 되는가? 이런 각본이 통과되고 영화화되서 시나리오를 거치는 동안 아무도 문제 제기를 하지 않았단 말인가... 이해할 수 없다.
보스 베이비 2,lazy****,10,드림웍스 사랑해!!!!
발신제한,wjsg****,10,
정글 크루즈,9eyq****,9,스케일 크고 웃음도 있고ㅎㅎ
미나리,love****,2,미쿡미쿡미쿡 미쿡에서
정글 크루즈,z4vv****,10,인디아나존스 느낌!! 이런 영화는 역시 극장에서 봐야쥬ㅋㅋ
모가디슈,rose****,4,"평이 좋아서 오늘 봤는데, 스토리가 너무 재미없어요"
블랙 위도우,juhy****,5,솔직히 다른 히어로들 비해 재미가 떨어짐..차라리 디즈니 플러스에서 로키처럼 드라마화 해서 출시 하는게 나았음
방법: 재차의,thtl****,9,코로나 4단계시기에 개봉한게 아쉬울 정도로 정말 흥미로웠다. 소재 또한 처음 보는 소재라 신비로웠고 재미있었다. 1편과 달리 스케일도 커서 재미있었다. 또한 연출과 연기가 정말 리얼했던거 같다. 코로나 4단계가 끝나고 재개봉하면 정말 인기를 끌 영화인거 같다 .
발신제한,pmfi****,10,조우진 지렸다...그라서 가능했다
모가디슈,pok_****,1,"진짜 죄다 알바인가..평점에 속아 봤는데 내용도 별거없고 평점에 죄다 극찬뿐인데, 본사람은 알꺼다 속았다는걸.. 카체이싱언급 심장졸이며 봤다는 멘트 는 전부 알바인듯."
모가디슈,miff****,10,정만식님 페이스북보고 깊은 감명받아 영화 보고 왔습니다!!!! 영화 너무 재밌고 잘 만들었어요 정만식님 연기도 잘하고 넘 멋있어요!!!
