영화제목,아이디,평점,댓글
분노의 질주: 더 얼티메이트,whhw****,4,전작보고 이번꺼보면 정말지루한 드라마보는 느낌임
모가디슈,happ****,10,모가디슈 재미있슈!!!!:)
모가디슈,7350****,10,비도 안오는  이 무더워속에 총소리라도 신나게 듣고갑니다.
곤지암,pico****,10,대박이다 진짜 개무섭다
블랙 위도우,dong****,10,기대를 저버리지 않는 마블
곤지암,pico****,10,대박이다 진짜 개무섭다
모가디슈,zoo4****,9,배우들 연기력이 뛰어나고 영상미도 뛰어나서 몰입할 수 있었습니다. 다만 자막의 가독성이 전체적으로 조금 아쉬웠던 것 같습니다.
모가디슈,pyj8****,10,"최고다 진짜 최근 본 영화 중 최고,, 카체이싱 최고 또 볼거임"
모가디슈,dnfl****,10,역시 류승완 기대한만큼 존잼! 김윤석 연기는 말모... 오랜만에 재밌는 영화봐서 좋아여
모가디슈,dalt****,10,너무 재밌네요~ 보는내내 몰입하면서 봤어요~
언스토퍼블,nodo****,7,박진감넘치는 기차영화였다.
지오스톰,mins****,10,난 재밌게 봤는데 재밌다는 사람들 다 싸잡아서 알바취급 하는거 좀 어이없긴 하네 ㅋㅋ
블랙 위도우,piii****,10,역시 실망시키지 않는 마블~
모가디슈,ohju****,10,오랜만에 울컥했습니다~영화가 매우 만족스럽네요
모가디슈,dhfp****,10,일단 신파가 없어 보기 편했고 액션이 지리네요 올해 본 한국 영화중 제일 잘만든 영화같아요
발신제한,96ka****,10,
오케이 마담,ahnh****,2,최악의 스토리에 억지 웃음 ㅋㅋ 공짜로 보기도 아깝다
모가디슈,np40****,10,정만식 배우님덕에 좋은 영화보고왓습니다^^
모가디슈,blac****,7,"이영활보고 ""소말리아같은나라에서 안태어나길 다행"" 이라고 느낌 지금까지도 내전중인데 총들고살아가는모습에 후덜덜"
이스케이프,rhau****,10,모가디슈보가 훨씬 재밌음
마이 스파이,nodo****,5,가족들과 함께 볼 수 있는 영화.
은혼 더 파이널,yua0****,10,ㅠㅠㅠ 내 학창시절 20대초 까지 같이달려온작품 이제 30대 되가는데....진짜 그런작품이 끝낫다는거에 눈물이 나오더라구요... 근데 작화에 힘주니까 그게 더어색해가지구 근데 작붕은 10년째변화없는게 더웃김 작붕마져 그냥은혼같아....
센과 치히로의 행방불명,hyh7****,8,개인적으로 지브리 영화중 나에게 가장 잘 맞는 작품인것 같다.
나만 보이니,codr****,3,중간쯤 청년회장아 향 피울때 중국식 아님???중국 무협영화에서 많이 본..
방법: 재차의,imaf****,10,스토리가 짜임새있고 긴장을 놓을수가 없게 만드네요
벌새,illb****,10,
모가디슈,ssi0****,10,대한민국 사람이라면꼭 봐야할  영화.. 강추
모가디슈,viol****,10,그저 인성오빠를 보러간건데... 분단국가라는 사실에 큰 충격과 가슴 먹먹해지는 감동을 받고 왔다.. 보는 내내 맘을 편히 내려놓을수 없던.. 잘만들었다!!
랑종,hyea****,6,잘 이어나가던 스토리를 왜 이렇게밖에 풀지 못했을까. 뭔가 허술한 부분이 많이 보이는 영화. 안무섭다고는 말 못하지만 아쉬움이 더 크다.
방법: 재차의,chs3****,4,드라마가 훨씬 나았다...영화까지 확장시킬 스토리나 소재는 아닌것같음...
크루엘라,rasu****,10,
모가디슈,rhau****,7,"역시나 조인성은 연기안되고..보는내내 외국영화 ""이스케이프""랑 느낌은 비슷한데..너무 재미없음.."
쌍화점,herl****,10,너무 좋은 영화 우연히 잘 봤음다
모가디슈,drea****,10,최근 본 영화중에 제일 재밌었음
모가디슈,no1b****,10,"정말 힘든 촬영이었을거 같은데 이정도로 완성도 높은 작품을 만들다니, 정말 류승완 감독님의 뚝심이 돋보이는 영화입니다."
타이페이 카페 스토리,nodo****,6,삶을 공유할 수 있다는 것은 인생에서 제일 성공하는 것이 아닐까.
모가디슈,kana****,10,배우들의 연기력 덕분에 스토리에 완전 몰입되서 봤습니다. 도중 유머를 잊지 않으면서도 액션신은 긴박하고 마무리는 과하지 않은 감정표현으로 더 감동이었습니다. 해외에서 어떻게 그런 액션을 찍었을 수 있었는지 감탄만 했었네요. 추천입니다!!!
콜로설,tnqj****,1,참... 왜본건지... 최악의 영화입니다
분노의 질주: 더 얼티메이트,rion****,7,갈수록 너무 오버연출에 집중하는거 같다. 비주얼은 볼만하지만 내용이 너무 없네. 그냥저냥 시간때우기수준. 7점
모가디슈,ange****,10,시간 가는지 모르고 넘넘 재미있게 봤어요!! 꿈의 제인부터 좋아하는 구교환배우님도 역시 연기 최고!!!! 그리고… 마지막에 이탈리아 대사관앞에서 꼬레아 꼬레아 외치면서 백기 드는 모습에 왜이리 눈물이 날까요 ㅠㅠ 나라가 버려도 국민들은 버리지못 할 이름… 코리아 ㅠㅠ
모가디슈,dlqq****,10,"이국적인 배경, 그에 어울리는 ost, 뜨거움과 습함이 느껴지는것같은 생생함. 배우들의 연기.모두 좋았습니다. 자동차 추격씬에선 제가 총 맞을거같은 느낌에 주먹을 꽉 쥐고 몰입했었네요. 조인성의 연기가 점점 더 농후해지는 듯! 추천합니다."
모가디슈,wjdd****,1,페미들만 빨아주는 영화
블랙 위도우,jin1****,10,명불허전이네..극장에서 사운드 느끼며  보길추천..
분노의 질주: 더 얼티메이트,hanb****,5,어이없는 전개와 허세 과한 액션? 개취겠지만 정말 재미없었다 비행기에서 끝냈어야했어..
그해 여름,luxu****,2,음. . . 나만 별론가?
이스케이프 룸 2: 노 웨이 아웃,kyun****,9,잼있네요 몰입감 좋구 3편 기대됨
프로메테우스,gree****,9,SF를 가장한 공포 스릴러
모가디슈,danu****,10,간만에 영화다운 영화 봤습니다^^ 추천합니다
정글 크루즈,djaw****,9,재밌게 잘봣어요 나중에 한번 더 볼 예정입니다
모가디슈,ham_****,10,이건 무조건 2번 더 봐야해요
익스팅션 - 종의 구원자,gogo****,4,애덜 막내 정말 개짜증남 암걸릴것 같아서ㅠ인내심이 바닥나서 못보겠음요.
랑종,ujeo****,2,절대 저얼대 현혹되시마쇼
블랙 위도우,joyc****,10,너무 재미있네요 역시 실망시키지 않는 마블
나만 보이니,kuch****,2,머냐 이 쓰레기는..
모가디슈,wsve****,10,왠만한 영화아니면 평점 잘안쓰는데 스토리도 기억에 남고 연출도 굉장해서 평점 남깁니다. 정말 오랜만에 즐겁게 본 영화였네요.
모가디슈,1ere****,10,다 같이 살 방법이 있으면 할 수 있는 데까지 해봐야지!
정글 크루즈,ilgp****,9,지루한 장면하나 없이 재밌게 봤음
모가디슈,seyi****,10,연기력과 연출력 정말 모두 완벽했어요
포레스트 검프,kson****,10,언제나 아카데미 수상작은 옳다
은혼 더 파이널,litt****,10,은혼이잖아~ㅠㅠ 시작부터 끝까지 은혼이었다 울다가 웃다가 울다가 웃다가
정글 크루즈,mq7r****,8,은근 스릴감 넘치고 유쾌하고 재밌었습니다!
블랙 위도우,od_m****,10,마블 이제 영영 안봄~ 스칼렛 요한슨때매 봤고 취급 잘알겠음~ 이것도 마블 짜증나서 안보려다가 배우때매 봤다
이스케이프 룸 2: 노 웨이 아웃,od_m****,10,진심 간만에 스릴 넘치는 영화 봐서 좋았다
모가디슈,with****,10,코로나가 무색할 정도로 오랜만에 몰입감 높은 한국영화였습니다
분노의 질주: 더 얼티메이트,jrlo****,5,이렇게 뜬금 없을 줄이야 멋지려고만 하지말자
랑종,od_m****,1,노잼인 주제에 마케팅만 오지게해서 있어보이는척하는게 우습당 무섭기는 마케팅 한거에 비해 망한듯이시대에 이딴 영화라니 진짜 기대 컸는데 이스케이프룸이나 두번볼걸ㅡㅡ감상포인트 없는데 강제로 선택하게 하네;
모가디슈,nice****,10,오랜만에 극장에서좋았네요
모가디슈,odhh****,9,다소 정치적인 의도가 있지만 코로나아니었으면 천만영화급
블러드 레드 스카이,leeh****,10,오~ 생각없이 봤다가 너무 재밌었습니다~!!!추천~
정글 크루즈,p2ky****,10,오락영화로는 유쾌 재밌었음ㅋㅋㅋㅋ드웨인 존슨하면 무조건이지 ㅎㅎ
방법: 재차의,flya****,10,"드라마 방법을 즐겨봤다면,소진이가 보고 싶었다면 재밌게 볼수있을거에요."
정글 크루즈,yarr****,9,신나고 재미있는 어드벤처 영화
하늘에서 음식이 내린다면 2,rma5****,1,왠만한 애니매이션 다 재미있게 보는데요. 정말 비추해요. 20분보다 도저히 못참고 껐습니다.
하트 오브 더 씨,leee****,10,와..이렇게 재밋는걸 이제야봤다니ㅠㅠ 석유가 없어 고래기름으로 세상을 밝힐수밖에 없었던 그때그시절... 엔딩장면에 땅에서 기름이 나온다는데 그말이 사실이라면 얼마나좋겠나 라고했던 마지막 대사가 참 기억에 남네요..
모가디슈,sktt****,9,꽤나 재밌었음. 신파도 없었고. 추천 ㅎㅎ
모가디슈,tota****,10,연기도 영상도 스토리도 10점만점에 10점
파이프라인,minu****,1,도잼꾼들이 재미만 싹 빼간듯한 영화 스토리 질질 억지로 끄는거 하나는 인정
악질경찰,hous****,10,넷플에서 봤는데 정말 재밌어요!!
아이스 로드,lsa7****,10,아이스로드 리암리슨 역시 믿고 봤음
유열의 음악앨범,hui7****,10,다른 분들은 영화가 개연성이 없고 제목과도 별로 상관이 없다고 하지만 저는 개인적으로 정말 좋은 영화라고 생각했어요. 큰 사건사고로 영화 자체가 웅장하지는 않지만 잔잔함을 지속적으로 보여주면서 감정을 만들어 낸다고 생각했습니다. 그리고 '유열의 음악앨범'이라는 라디오를 사용하여 주인공들의 이야기 전개를 도와주는 것이 좋았습니다. 음악이 함께 나오고 라디오를 시작하며 분위기를 나타내 주는 것이 좋았습니다. 저는 정말 좋은 영화이며 일상생활에서 조용히 볼 수 있는 영화라고 생각합니다.
인투 더 스톰,high****,6,그냥 지루하지는 않은 정도
분노의 질주: 더 얼티메이트,dysh****,2,이젠 우주까지 가냐…이젠 그냥판타지영화 다
맨 오브 스틸,high****,1,보다가 너무 지루해서 꺼버렸어요 내 아까운 시간ㅠㅠ
모어 댄 블루,gpff****,10,사랑에 대해 다시 또 생각해보게 만드는 영화
왕의 남자,stil****,10,너무너무너ㅜ머눔 재밌다
모가디슈,dong****,10,지루하지않은 스토리 박진감 넘치는 전개 명품연기 너무 완벽 그자체....
꽃다발 같은 사랑을 했다,puff****,8,이틀전 헤어진 후 혼자 본 영화. 기억은 잘 안나지만 영화에 시작과 동시에 끝을 향한다고 했었나. 서로가 미워서 헤어진게 아니라 더욱 아려온다
예스터데이,poli****,9,사랑이야말로 가장 중요한 삶의 이유이자 목적!!
모가디슈,cjm3****,8,배우들의 앙상블. 류승완의 연출. 그리고 구교환.
오케이 마담,rupa****,1,바닷길선발대 예능에서 마침 숙소에 이 영화가 나옴. 영화보다 박성웅 빼고 다 딥슬립함.
정글 크루즈,ts8u****,10,꿀잼꿀잼 왼전 강추입니다
바람의 검심 최종장: 더 비기닝,woji****,9,시리지중 최고 액션이고 그냥 뻔한요소 없이 현실적이고 재밌는영화 추억편 보다 이거보면 좀 아쉬울수 있음
모가디슈,kdym****,4,감독이 의도한 건지 뭔가 정신사납고 산만해서 별로..물론 전작보다는 확실히 낫다.
로그,kast****,1,하.. 메간누나 왜이런 영화를.. 내시간 돌려줘요..
모가디슈,fool****,8,캐스팅굿.조인성은 언제나 옳다실화바탕이라 그런지 2시간 내내 감정이입.
내겐 너무 소중한 너,shin****,10,
블랙 위도우,08eu****,8,그냥 블랙위도우의 이야기를 듣고 싶고 블랙위도우의 팬이라면 추천
CCTV,qw90****,9,모처럼 잼나게 보았네요
평행이론,jsjw****,8,6점대 영화는 아님. 생각보다 재미있게 봄
타잔,xodu****,10,초등학생 때 집에 비디오가 있어서 10번은 봤는데 15년 지나고 또 봐도 재밌네요 ㅎㅎ 옛날엔 커첵이 나쁜 줄 알았는데 지금보니까 타잔이 문제였어 ㅋㅋ이해가 되긴 하지만
모가디슈,jung****,8,내전상황의 소말리아의 한국인의 관점으로 깊이 들여다보는 영화가 너무 인상적이었습니다.
모가디슈,pouo****,9,
블러드 레드 스카이,y2k4****,10,오랜만에 재미있는 뱀파이어영화 봤습니다
랑종,endl****,4,스토리전개도..  영상미도.. 다 별로였음.억지로 무섭게 놀래키려는 구시대적 스릴러를 넣어서 순간 순간 짜증났음.
모가디슈,ilov****,10,영화적재미와 리얼리티를 동시에 잡은 수작이다배우들의 연기가 너무 감동적이다
모가디슈,cat8****,10,오랜만에 본 영환데 진짜 너무 재밌었어요! 보는 내내 긴장하고 쫄려하면서 봤습니다. 마지막에는 먹먹한 여운까지..코로나만 아니었으면 더 흥행할 것 같은데 아쉬워요!
분노의 질주: 더 얼티메이트,sim0****,7,여전히 장님같은 적들과 뻔한 액션이지만 이게 볼만하게 만들어주는 분질의 네임벨류
모가디슈,ldj8****,7,킹덤의 구교환..! 대배우들 사이에서 연기력 짱..!
정글 크루즈,xpdl****,5,제목  그대로  정글크루즈임  이도저도 아님  에밀리브런트만 눈에들어옴  ㅋㅋ 리클라이너로 봤는데  중간중간에  잘뻔 그리고  빌런들은 하는거없이  잠시나와 또 제자리 ㅋ
방법: 재차의,aeky****,10,드라마 잼있게 봤는데 영화 대박이네요
정글 크루즈,p4pn****,10,기대 안하고 봤지만 엄청 재밌었게 봄 드웨인이랑 에밀리 케미 뭐냐고ㅋㅋㅋ 둘다 너무 좋아 진짜
CCTV,sim1****,8,긴장하며  봤습니다... 공포 영화는  여름이  제격이죠.
황후화,kbm7****,10,명작이다. 그리스 로마 신화의 비극을 중국 배경으로 각색 잘 했다. 마지막 장면은 이 영화를 더 걸작으로 만들었다. 장예모 감독의 대단함을 느끼게 된 명작.
부당거래,aksk****,10,현실인 거 같아 참 마음이 씁쓸하네
데스 노트 - 라스트 네임,asz4****,9,"내가 진짜 너무재밋어서 지금 5번째 정주행하는데 5번째 보면서 느낀게있다 데스노트는 소유자 외 다른사람이 적으면 적용되지않는다라는 규칙이 있는데 L이 자기이름 적었는데 죽었다는점, 또 사신이 이름을 적으면 사신이 죽는데 류크는 죽지않는다는점 렘과 렘친구는 죽었는데 왜 류크는 죽지않았을까 궁금합니다 L은 후속작 때문에 그렇다칠수있지만 아쉽긴한데 하지만 제가 5번 정주행을 해도 아직도 너무 재밋다 생각이듭니다 띵작 만들어줘서 감사합니다"
은혼 더 파이널,wndp****,10,진짜 마지막ㅠㅠㅠㅠ 슬프지만 재밌어요
정글 크루즈,carr****,10,즐겁게 볼 수 있는 영화임~~ 간만에 즐거웠다!
CCTV,thgl****,8,
블랙 위도우,ch43****,10,"정말 진심으로 마블 역사상 가장 잘 나온 영화라고 생각합니다. 항상 장르불문 영화관에 상영되는 영화를 거의다 챙겨보는데, 이번 블랙위도우는 손에 꼽힐정도로 잘 만들었어요. 정말 돈 아깝지 않은 영화입니다. 4번 봤어요:)"
그린 랜턴: 반지의 선택,rhkr****,2,"""아니다 이 악마야ㅋㅋㅋ"""
모가디슈,navi****,10,
CCTV,kusa****,8,곽도원 배우의 연기는 이때부터 좋았네요...
헬머니,tjdg****,7,욕은 재밌는데  예상보단 적고 ㆍ ㆍ스토리가 별로네요....
새콤달콤,kkmn****,10,원작 보고나서 보는데도 넘 재밌게 봤습니다ㅎㅎ 원작 내용을 그대로 살려서 더 좋았네요~
정글 크루즈,02v1****,10,기대 안하고 갔었는데 재밌었어요 ㅋㅋㅋ
정글 크루즈,kpiv****,9,가족영화 오락영화로는 훌륭한 영화
모가디슈,khk1****,10,"억지눈물, 억지웃음, 신파 없이 담백한 영화"
모가디슈,rlae****,1,뭐가 재밌는지 몰겠구먼
모가디슈,wdi2****,10,오랜만에 '영화다운 영화'를 본 기분입니다
블랙 위도우,dlfd****,5,정말 재미없습니다 네이버 알바 많다는걸 새삼 느낌니다 어설픈 신파도 많고 테스크마스크인가 걔도 존재감 없어요 알바들 리뷰보고 긴가민가 하시면 보고 실망하세요
미나리,hanj****,5,그래도 끝까지 봤음머리속에는 ???
모가디슈,phw5****,10,끝에 뭔가 모를 묘한 슬픔이....ㅠㅠ김윤석 연기 진짜 미쳤음 구교환도 대박
새콤달콤,gkrr****,7,채수빈이 연기를 너무 잘해서 애절한드라마인줄 알았네. z반전없었으면 그냥저냥한 드라마....
언더 워터,trrr****,10,귀여운 갈매기 ㅜㅜ  재밌었어요
대립군,papo****,9,자기들이 영화찍지도못하면서 알플달아놨네 ㅠ 마지막에 죽은 이정재의 신분을 복구하고 태평성대한모습 보여줬으면 좋을걸 마지막이 조금 아쉽네요 여진구는 진짜 천재같음 이병헌보다 더잘함 ㅠ 절하고싶다 이병한한테 연기도잘하고 이정재 김무열 여진구연기좋네요 ㅠㅠ 다시보거싶어요 눈물이납니다 나라가 이래야될텐데 대통령이배웠으며누좋겠네 ㅠ
크루엘라,miya****,10,슬프고 아름답고 강렬하고 짜릿하다!
방법: 재차의,zeca****,8,볼만합니다. 원래 드라마가 있었군요. 방학에 아이들 데리고 가서 나름 잼있게 봤네요.
랑종,wjsw****,7,나쁘지 않은데요 강추는 아니지만 공포영화 좋아하시는 분들 필수 ㅎㅎ
정글 크루즈,xd4q****,9,기대하고 봤는데도 진짜 재밌었던것 같아요
킬러의 보디가드 2,skyf****,7,약간 떨어지는 킬링 타임용 무비
모가디슈,bora****,8,"정말 오랜만에 볼만한 영화! 그리고 조인성님 너무 멋있음 -,.-"
모가디슈,mibh****,2,이렇게 도움받고나서 우리 천안함 침몰시키고 연평도 포격하고 국군 발목 지뢰로 터뜨린 괴뢰북한과 사이좋게 지내자고 메세지 보내는 전형적인 친북영화
제8일의 밤,pok_****,2,진짜 귀여운척하는거 죽이고싶네 ㅋㅋ
모가디슈,0607****,10,재밌어요 !! 연기 짱 ...
길버트 그레이프,ckdh****,10,
모가디슈,jiku****,2,평점 너무 높다. 솔직히 이게 무슨 액션.. 지루하더만 별 내용도 없던데.. 너무 기대했나 ㅜ
어톤먼트,eehd****,10,
여고괴담 여섯번째 이야기 : 모교,blue****,1,평점 태어나 첨 달아봄 1도 아까움개연성 1도없어 시간아까워 돈아까워 아씨욕나온다70년대 공포물수준인가
기묘한 가족,ruya****,8,
인 더 하이츠,shy_****,10,뮤지컬 감성을 영화로서 잘 살린 거 같고 음악이 조음.. 소장 예정
모가디슈,mina****,10,이악물고 영화 봤습니다
대부업자:소울 앤 캐시,pont****,1,어이.명계남.니가 노짱 친구라고 김두영 감독급으로 대접할 줄 아냐?
남산의 부장들,ripl****,10,부산 마산시민 (니 호위호식 하자고) 100만 200만을 그냥 죽이겠다고? 그럼 너도 한번 죽어봐? 빵!! 속 시원했습니다.   박정희는 공도 있고 과도 있지만 적당할때 끊어준 김재규 장군께 경의를 표합니다.
블러드 레드 스카이,wjsg****,2,"전형적인 발암전개.. 왠만하면 한번 본 영화는 다보는 편인데, 중간에 힘들어서 끊음. 시간 아까움 보지마셈"
블랙 위도우,haer****,10,너무 재밌어요!!!!’
방법: 재차의,chtv****,10,좀비꺽이 영상과 택시신이 최고예요
모가디슈,eofl****,1,대한민국에 망명이라는 이유로 북한 사람들을 받았지만 결국 안될걸 알고 있었더눈 식의 발언으로 왜 받았는지도 모르게되었고 가족이 안에 있는데 걱정도 되지 않는 행동이 많아 공감도 이해도 되지 않았더
모가디슈,pw10****,10,
노팅 힐,bois****,10,시간이 흘러 지금 봐도 보는 동안 행복 그 자체네요
블러드 레드 스카이,mgh0****,5,그냥저냥 볼만함 어머니는 위대하다
모가디슈,nude****,10,방금 보고 나았는데 감동이 가시질 않네요. 진짜 오랜만의 명작
정글 크루즈,leem****,10,웰컴투 드웨인존슨~~ㅋㅋㅋ
모가디슈,sosc****,10,"시대적인 반영이 많이된영화, 최근본영화중 가장 감명깊게 본영화라 처음으로 글씀."
정글 크루즈,dyda****,10,시원한 느낌이 들어서 더운 여름에 보기 딱 좋은 영화ㅋㅋㅋㅋ 인디아나존스 같고 더락 나와서 추억에 젖었음ㅋㅋㅋ
모가디슈,thag****,1,실화를 바탕으로 만든 영화라지만 연출도 너무 과했고 사운드도 어울리지 않은 상황에서 너무 크게 나오는 경우가 많았음.또한 영화의 의도나 감동 자체가 없었음 올해 본 첫 영화인데 최악인듯
정글 크루즈,f245****,9,재미는 확실히 있어요ㅋㅋ 꿀잼입니다
정글 크루즈,oftb****,8,타 정글영화들과는 다른 재미가 있네요ㅋㅋㅋ 잘봤습니다ㅋㅋ
블랙 위도우,sm35****,10,그냥 너무 좋았음 스토리도 배우 연기도
이도공간,qnrn****,9,"스릴러 치곤 되게 담백하다고 생각한다.엄청 큰 공포도, 엄청 극적인 요소도 없다. 너무 공포에만 치중하다보면 보고 나서 놀랐던 기억만 남게 되고 스토리에만 집중하다보면 공포가 없는데 그 사이 어떤 부분...적당하다.생각보다 감동도 있고...역시나 장국영의 연기는 죽여준다는 생각이 들었다.이런 영화를 스크린으로 볼 수 있어서 좋았다."
케이프 피어,sjjo****,9,피는 물로 씻길지언정 죄는 씻을 수 없도다
모가디슈,rhks****,10,지금봤는데 잼있어요 조인성씨 연기가 좋았어요  캐릭터가 머리회전빠르고 센스있는거 잘어울리고 잠깐 액션씬 시원시원하니 보기좋았습니다
모가디슈,gwan****,10,정말 재미있게 잘 봤습니다
블랙 위도우,mien****,10,나타샤 못잃어
CCTV,qkrd****,8,요즘 코로나 때문에많이 답답하고 짜증났는데이 더운 여름날 시원한 영화 한편잘보고 갑니다 흥행하세요
CCTV,mee1****,1,평점조적영화 최악 알바쓰지마라
천하장사 마돈나,haid****,10,
정글 크루즈,ikhs****,9,사실 큰 기대 안했는데 박진감 넘치고 넘 재미났어요~
정글 크루즈,sohl****,10,너무 많이 웃다 나왔어요 믿고 보는 디즈니ㅎㅎ
블러드 레드 스카이,jinc****,1,"발암에 꼬리를 무는 발암.한 시간 짜리 영화를 억지로 늘려놨다.사건을 해결하고 넘어가야 하는데, 판은 커지고 정신은 없고 결국 엔딩은..? 처음 소재는 신선했지만, 결국 한계를 보이는 독일 영화. 시간 버렸다."
모가디슈,chos****,10,연기는 말할것도 없고 재밌다
정글 크루즈,tudu****,10,보는내내 너무 재밌었던 영화임! 꼭 추천합니다!
SMTOWN THE STAGE,haid****,1,
보스 베이비 2,jake****,10,"OST,연출,스토리 빠짐없이 훌륭한 영화코믹요소도 많고 재밌어서 아이들이 보기좋음솔직히 본 영화중 10손가락에 꼽힌다 그만큼재밌다는 것"
정글 크루즈,lcge****,10,너무너무 재밌었어요 ㅠㅠㅠ 진짜 강추
스타쉽 트루퍼스 2,youn****,7,스타쉽트루퍼스2라고 생각하면 안되고 그냥 우주 변방의 어느 부대원들에게 일어난 얘기인데 그게 연방군 전체에 위협이 되는 일이라 나름 중요하긴 한데 전작 생각하고 보면 비교가 안되고 킬링타임용 스핀오프...
마왕의 딸 이리샤,suny****,4,영상은 아이들이 보기에  넘 좋은듯하나성우가 어색해서ㅜㅜ 집중이 전혀되지않았어요주인공들도 그외 거미.기타 모두다 애니따로 더빙따로 노는 느낌이랄까ㅜㅜ
보스 베이비 2,kubo****,8,따뜻한 가족 애니메이션.  이런 영화들이 예상치못하게 가슴을 쿡쿡 찔러댄다
적도의 꽃,baby****,10,
모가디슈,dmsg****,7,"여름에 시원한 액션 영화를 보고 싶다면 추천, 근데 살짝의 감동을 곁들인"
프리즈너스,shsh****,10,
판의 미로 - 오필리아와 세 개의 열쇠,jiso****,10,
너의 이름은.,2eoa****,10,오랜만에 인생 영화를 찾았다
새콤달콤,kjum****,9,"그냥 흔하고 뻔한 b급 로코인줄 알았는데, 예상을 깨고 기대 이상으로 재밌다 각색,감독 이름을 보고 아! 럭키 감독! 역시 뭔가 다르다 했어. 배우들 연기도 아주 괜찮. 이경영은..존재하나 존재하지 않는, 소금은 아니고 후추정도 되는 양념같은 존재인듯"
모가디슈,warm****,10,
블랙 위도우,kauz****,8,재밌음 관람객 모두가 집중하면서 봤다
플로리다 프로젝트,lemo****,10,생각이 많아지는 영화 자꾸 떠오르네요
프레데터,yaso****,10,"CG, 피칠갑, 연기력 딸리는 반짝 아이돌에 의존하는 요즘 감독들은 경배하라.명장 존 맥티어넌은 80년대 후반에 정글에서 마초질하는 코만도들을 데리고 이렇게 훌륭한 스릴러를 만들어냈다. 그것도 정글+외계인이라는 어울리지 않는 소재를 가지고.."
모가디슈,tjrd****,1,뭐하는건지 모르겠다는
랑종,kauz****,8,"절대신의 존재에 대한 의미, 우리가 숭배하는 신의 믿음을 의심해 볼수있는 예술작품이였다."
모가디슈,wyhj****,10,너무 감동적인영화 남북의 어쩔수 없는 아픔이 가슴 깊이 박히는영화다
어벤져스: 엔드게임,cwj5****,10,진짜 몇번을 봐도 명작이다
이스케이프 룸 2: 노 웨이 아웃,jean****,10,마지막에 긴장감 최고!잘봤어요
겨울왕국 2,cher****,10,정말재밌어요!!지금 영화관에서 2번 집에서5번이나봤어요!엄마의반대를무릅쓰고까지본 1人
분노의 질주: 더 얼티메이트,krpc****,10,극장에서 보세요. 후외없음.
악마는 프라다를 입는다,kobe****,1,앤 해서웨이가 성공을 위한 걸레로 나오는 영화
모가디슈,mshn****,2,"너무 재미있어요 국민 모두가 봐야 할 영화라고 생각해요 연출, 연기 모두 국민 모두를 감동시킬 영화입니다."
랑종,yes3****,8,믿음을 잃은 자들에게는 파멸. 절대 현혹되지 말라는 나홍진 감독의 말..
보스 베이비 2,kang****,10,감동적이고 캐릭터도 귀엽고 노래도 좋네요
모가디슈,daia****,3,평소에 볼 수 없었던 한국형 액션은 굿그 액션에 긴장감이 다소 떨어지는게 아쉬움전체적으로 지루한감이있다뭔가 더 많은게 있었을 것 같은데 많이 덜어낸 느낌
CCTV,ddol****,9,공포영화 별로 안보는데 부탁으로 봤어요~ 여름엔 공포영화구나 싶네요~ 잘 봤습니다~!
모가디슈,mari****,1,북한이 테러범한테 무기팔아먹는것까지 미화?
시카리오: 암살자의 도시,punk****,9,갈증말고 더 필요 합니까?
모가디슈,luxu****,1,주진우 절친 진짜 목에 칼이들 어와도 북한 북한이네ㅋㅋㅋ간첩이라는 간첩없다는 다큐도 찍고하더니 북한이 친구안되면 영화 소재가 없나보네ㅋㅋ대단하다진짜ㅋㅋ좌파들은 진짜 정신병있냐
황후화,ruby****,10,영상미가 후덜덜...중국다운 스케일이네요..
가타카,nand****,10,명작은 괜히 명작이 아니구나를 느꼈다.
크루엘라,fufu****,10,너무너무 재밌어요 진짜 모든부분에서 완벽 아직 상영하는지 모르겠는데 안보셨으면 바로 달려가서 보시길 ..
극장판 포켓몬스터 베스트위시 : 큐레무 VS 성검사 케르디오,shsh****,1,
모가디슈,ejm8****,8,괜찮네요. 촬영할 때 고생 많이 하셨을 듯.
모가디슈,euns****,10,와..역대급ㅋㅋㅋ 촬영 스케일이 말이 안나오네요 진짜 재밌습니다. 시간가는 줄 모름
모가디슈,mjka****,10,헐리웃 수준의 영화. 신파 없고.  쓸데없는 스토리 없이. 중심 주제로 쭉 흘러가니 몰입도 좋았음. 소말리아역 배우들도 연기가 좋았음. 암튼 굿
CCTV,naya****,1,이걸 본 우리들도 불쌍하지만 곽도원씨가 제일 불쌍하네
어바웃 타임,ljt0****,10,"다시봐도 정말 감명 깊은 영화,,"
CCTV,haha****,10,"스릴있고,무서워요,곽도원 연기는 항상 믿고 보게되는것 같아요"
걸캅스,ssan****,1,쪽팔린줄알아야지이딴 영화가 지지를 받았다니..이게 그 지지집단의 수준인가요? 이따위로 가볍고 생각없이 다룰 주제가 아닌데 이따위로 소비하다니. ..코미디로보자니 재미없고 시간아깝고페미영화로보자니 여성으로써 불쾌하네요
모가디슈,minj****,8,"실화를 바탕으로 그려지는 영화의 교과서를 충실히 그려낸다! 중반이후 우리나라의 시대상도 담담히 풀어가며 중심을 잡는다,  신파도 국뽕도없이 분단된 우리의 현실을 담담히 그려낸다, 이부분이 가장좋다 신파없이도 눈물이 주르륵!!!"
모가디슈,elfi****,10,구교환씨 정말 연기가 충격적일정도로 일품이에요
